id,question,source_document,top_retrieved_doc,top_score,retrieval_latency_s,generation_latency_s,error,faithfulness,answer_relevancy,context_precision,context_recall
Q01,"How many parallel attention heads does the Transformer model use, and what is th",attention_need.pdf,attention_need.pdf,0.9996,0.7611,2.4612,,1.0,0.6487044125041898,0.99999999998,1.0
Q02,What are the two sub-layers in each encoder layer of the Transformer?,attention_need.pdf,attention_need.pdf,0.9988,0.4155,61.9663,,1.0,0.8915330891345119,0.999999999975,1.0
Q03,What additional sub-layer does the Transformer decoder have compared to the enco,attention_need.pdf,attention_need.pdf,0.995,0.6748,1.341,,1.0,0.5714585073744007,0.8666666666377778,1.0
Q04,What three confidence levels does CRAG's retrieval evaluator assign to retrieved,corrective_rag.pdf,corrective_rag.pdf,0.99,0.3352,1.2271,,0.25,0.9744712416121936,0.99999999998,1.0
Q05,What does CRAG do when retrieval confidence is Incorrect?,corrective_rag.pdf,corrective_rag.pdf,0.9991,0.2898,1.2176,,0.5,1.0000000000000002,0.9166666666361111,0.5
Q06,What neural network architecture does DPR use to encode questions and passages?,dense_retrieval.pdf,dense_retrieval.pdf,0.9974,0.3759,123.2577,,1.0,0.6683767176649019,0.8874999999778125,1.0
Q07,What training technique does DPR use to handle negative examples efficiently dur,dense_retrieval.pdf,dense_retrieval.pdf,0.9973,0.6124,1.459,,1.0,0.8473877997269521,0.6388888888675925,1.0
Q08,How does RAGAS compute the faithfulness metric for a generated answer?,ragas.pdf,ragas.pdf,0.9901,0.2559,1.4415,,0.0,0.0,0.9166666666361111,1.0
Q09,What does the RAGAS answer relevancy metric measure and what does it penalise?,ragas.pdf,ragas.pdf,0.9914,0.2992,1.7256,,1.0,0.6595580126684347,0.8041666666465626,1.0
Q10,What is the key advantage of RAGAS metrics with respect to human-annotated groun,ragas.pdf,ragas.pdf,0.9905,0.2961,1.5979,,1.0,0.7581794026200354,0.99999999998,1.0
Q11,What performance pattern do language models exhibit when relevant information is,long_context_llm.pdf,long_context_llm.pdf,0.9997,0.2649,1.1292,,0.5,0.0,0.99999999998,1.0
Q12,What are the three developmental paradigms of the RAG framework described in the,rag_llm.pdf,rag_llm.pdf,0.9998,0.2452,1.2903,,0.75,0.9597247513868593,0.9999999999666667,1.0
Q13,How many datasets and categories does the MTEB benchmark cover in its English su,text_embed.pdf,text_embed.pdf,0.9998,0.2798,1.1568,,1.0,0.8659412352009986,0.99999999995,1.0
Q14,What was the real GDP growth rate in the fourth quarter of 2025?,gdp4q25.pdf,gdp4q25.pdf,0.9999,0.3356,1.4025,,0.5,0.9929266069163298,0.9166666666361111,1.0
Q15,What factors caused the deceleration in real GDP in Q4 2025?,gdp4q25.pdf,gdp4q25.pdf,0.9905,0.4551,1.611,,1.0,0.9180387863202522,0.6999999999766667,1.0
Q16,What was the growth rate of real final sales to private domestic purchasers in Q,gdp4q25.pdf,gdp4q25.pdf,0.9994,0.4318,1.1874,,0.6666666666666666,0.7255972160367815,0.699999999965,1.0
Q17,How does natural selection act on variations among individuals according to Darw,species_origin.pdf,species_origin.pdf,0.9462,0.2186,2.1043,,1.0,0.8576809085161033,0.99999999998,1.0
Q18,What evidence does Darwin cite regarding the classification of closely allied sp,species_origin.pdf,species_origin.pdf,0.9802,0.2616,4.488,,1.0,0.9342066909019457,0.9999999999666667,0.0
Q19,What is the Stoic summum bonum according to the Meditations commentary?,meditations.pdf,meditations.pdf,0.6407,0.3085,1.2015,,1.0,0.9357142806950068,0.8055555555287036,1.0
Q20,"Who does Plato say should be kings in the perfect state, according to the Republ",the_republic.pdf,the_republic.pdf,0.9588,0.3094,1.9612,,1.0,0.910394804083922,0.19999999998,1.0
Q21,What does Sherlock Holmes say to Watson about how to examine a personal object f,sherlock_homes.pdf,sherlock_homes.pdf,0.7693,0.3445,1.0699,,0.0,0.0,0.3333333333,1.0
Q22,What does the rag_hallucination paper show happens to hallucination rates with r,rag_hallucination.pdf,rag_hallucination.pdf,0.9951,0.3106,1.0462,,1.0,0.6058912933725521,0.8333333332916666,1.0
Q23,What is the main thesis of the paper 'Retrieval Augmentation Reduces Hallucinati,rag_hallucination.pdf,corrective_rag.pdf,0.9962,0.3045,1.2345,,0.5,0.3680610032376252,0.99999999998,1.0
Q24,What does the LLM evaluation survey say about the importance of measuring factua,llm_eval.pdf,llm_eval.pdf,0.9979,0.2978,1.753,,1.0,0.4719595920492043,0.94999999997625,1.0
Q25,What does the HELM evaluation framework assess in language models?,llm_eval.pdf,llm_eval.pdf,0.9997,0.2647,1.2166,,1.0,0.9323912340053745,0.699999999965,1.0
Q26,How does Plato describe the four corresponding faculties of the soul in relation,the_republic.pdf,the_republic.pdf,0.9894,0.2508,2.0456,,1.0,0.9598019139030002,0.9999999999666667,1.0
Q27,What does Marcus Aurelius say about the nature of man's life in the Meditations?,meditations.pdf,meditations.pdf,0.9777,0.2965,1.5776,,1.0,0.6962472051769145,0.699999999965,1.0
