id,question,source_document,top_retrieved_doc,top_score,retrieval_latency_s,generation_latency_s,error,faithfulness,answer_relevancy,context_precision,context_recall
Q01,"How many parallel attention heads does the Transformer model use, and what is th",attention_need.pdf,attention_need.pdf,0.7954,0.3246,1.7501,,1.0,0.6829686388993673,0.99999999998,1.0
Q02,What are the two sub-layers in each encoder layer of the Transformer?,attention_need.pdf,attention_need.pdf,0.6965,0.1076,1.6826,,0.6,0.9173868895145731,0.94999999997625,1.0
Q03,What additional sub-layer does the Transformer decoder have compared to the enco,attention_need.pdf,attention_need.pdf,0.7086,0.0759,1.4415,,1.0,0.793678133528206,0.8666666666377778,1.0
Q04,What three confidence levels does CRAG's retrieval evaluator assign to retrieved,corrective_rag.pdf,corrective_rag.pdf,0.6966,0.0991,1.4499,,0.25,0.9744712416121936,0.8041666666465626,0.6666666666666666
Q05,What does CRAG do when retrieval confidence is Incorrect?,corrective_rag.pdf,corrective_rag.pdf,0.7208,0.0942,1.1948,,1.0,0.9654461791534572,0.7555555555303703,1.0
Q06,What neural network architecture does DPR use to encode questions and passages?,dense_retrieval.pdf,dense_retrieval.pdf,0.6575,0.12,1.5157,,0.75,0.3704473565655432,0.999999999975,1.0
Q07,What training technique does DPR use to handle negative examples efficiently dur,dense_retrieval.pdf,dense_retrieval.pdf,0.7112,0.1015,1.7104,,1.0,0.7056199109614071,0.6388888888675925,1.0
Q08,How does RAGAS compute the faithfulness metric for a generated answer?,ragas.pdf,ragas.pdf,0.7138,0.1137,2.3846,,1.0,0.5882768628047254,0.99999999995,0.3333333333333333
Q09,What does the RAGAS answer relevancy metric measure and what does it penalise?,ragas.pdf,rag_llm.pdf,0.6988,0.0905,1.2774,,0.0,0.0,0.699999999965,1.0
Q10,What is the key advantage of RAGAS metrics with respect to human-annotated groun,ragas.pdf,rag_llm.pdf,0.6503,0.0839,1.4118,,1.0,0.6783093613335708,0.999999999975,1.0
Q11,What performance pattern do language models exhibit when relevant information is,long_context_llm.pdf,long_context_llm.pdf,0.8509,0.0693,1.3119,,0.5,0.34290596679258556,0.99999999998,1.0
Q12,What are the three developmental paradigms of the RAG framework described in the,rag_llm.pdf,rag_llm.pdf,0.7004,0.0785,1.7069,,0.75,0.9597247513868593,0.5888888888692593,1.0
Q13,How many datasets and categories does the MTEB benchmark cover in its English su,text_embed.pdf,text_embed.pdf,0.7001,0.0747,1.2925,,1.0,0.7363412360189286,0.999999999975,1.0
Q14,What was the real GDP growth rate in the fourth quarter of 2025?,gdp4q25.pdf,gdp4q25.pdf,0.808,0.0732,1.7142,,0.6666666666666666,0.950312934552509,0.8041666666465626,1.0
Q15,What factors caused the deceleration in real GDP in Q4 2025?,gdp4q25.pdf,gdp4q25.pdf,0.6693,0.1067,2.1092,,1.0,0.8688940708596512,0.8874999999778125,1.0
Q16,What was the growth rate of real final sales to private domestic purchasers in Q,gdp4q25.pdf,gdp4q25.pdf,0.7261,0.0953,1.4956,,0.6666666666666666,0.7255972160367815,0.8666666666377778,1.0
Q17,How does natural selection act on variations among individuals according to Darw,species_origin.pdf,species_origin.pdf,0.7131,0.0898,2.6772,,1.0,0.7273006740278151,0.99999999998,1.0
Q18,What evidence does Darwin cite regarding the classification of closely allied sp,species_origin.pdf,species_origin.pdf,0.6308,0.1576,2.9366,,1.0,0.9338105944969173,0.9999999999666667,1.0
Q19,What is the Stoic summum bonum according to the Meditations commentary?,meditations.pdf,meditations.pdf,0.5327,0.1042,1.4489,,1.0,0.8769765847030246,0.9999999999666667,0.5
Q20,"Who does Plato say should be kings in the perfect state, according to the Republ",the_republic.pdf,the_republic.pdf,0.6783,0.0997,1.3098,,1.0,0.804511634692936,0.3333333333,0.0
Q21,What does Sherlock Holmes say to Watson about how to examine a personal object f,sherlock_homes.pdf,sherlock_homes.pdf,0.6706,0.0871,1.2301,,0.0,0.0,0.249999999975,0.5
Q22,What does the rag_hallucination paper show happens to hallucination rates with r,rag_hallucination.pdf,rag_hallucination.pdf,0.6317,0.1255,2.4343,,0.3333333333333333,0.29331368876228003,0.49999999995,0.5
Q23,What is the main thesis of the paper 'Retrieval Augmentation Reduces Hallucinati,rag_hallucination.pdf,rag_hallucination.pdf,0.8608,0.0885,2.8872,,1.0,1.0,0.9166666666361111,1.0
Q24,What does the LLM evaluation survey say about the importance of measuring factua,llm_eval.pdf,ragas.pdf,0.708,0.0796,1.8548,,0.0,0.0,0.9166666666361111,1.0
Q25,What does the HELM evaluation framework assess in language models?,llm_eval.pdf,llm_eval.pdf,0.754,0.0854,1.6904,,1.0,0.9323912340053745,0.99999999995,1.0
Q26,How does Plato describe the four corresponding faculties of the soul in relation,the_republic.pdf,the_republic.pdf,0.6916,0.0925,2.6376,,1.0,0.6567032452469637,0.8333333332916666,1.0
Q27,What does Marcus Aurelius say about the nature of man's life in the Meditations?,meditations.pdf,meditations.pdf,0.7398,0.0965,1.4835,,0.0,0.0,0.9166666666361111,1.0
