id,question,source_document,top_retrieved_doc,top_score,retrieval_latency_s,generation_latency_s,error,faithfulness,answer_relevancy,context_precision,context_recall
Q01,"How many parallel attention heads does the Transformer model use, and what is th",attention_need.pdf,attention_need.pdf,0.0323,0.1304,1.4868,,1.0,0.793826540865308,0.7555555555303703,1.0
Q02,What are the two sub-layers in each encoder layer of the Transformer?,attention_need.pdf,attention_need.pdf,0.0325,0.1449,1.3867,,0.75,0.8058213295766777,0.9166666666361111,1.0
Q03,What additional sub-layer does the Transformer decoder have compared to the enco,attention_need.pdf,attention_need.pdf,0.0325,0.1281,1.2614,,1.0,0.793678133528206,0.94999999997625,1.0
Q04,What three confidence levels does CRAG's retrieval evaluator assign to retrieved,corrective_rag.pdf,corrective_rag.pdf,0.0323,0.1331,1.5361,,0.8333333333333334,0.8808169586746847,0.8874999999778125,1.0
Q05,What does CRAG do when retrieval confidence is Incorrect?,corrective_rag.pdf,corrective_rag.pdf,0.0323,0.1214,1.1708,,0.0,0.953312030914392,0.999999999975,1.0
Q06,What neural network architecture does DPR use to encode questions and passages?,dense_retrieval.pdf,rag_hallucination.pdf,0.0325,0.1211,3.4113,,1.0,0.4595985174328981,0.36666666664833336,1.0
Q07,What training technique does DPR use to handle negative examples efficiently dur,dense_retrieval.pdf,dense_retrieval.pdf,0.0323,0.1251,2.6917,,0.6666666666666666,0.8473877997269521,0.6388888888675925,0.5
Q08,How does RAGAS compute the faithfulness metric for a generated answer?,ragas.pdf,ragas.pdf,0.032,0.1628,2.7069,,0.6666666666666666,0.0,0.4777777777618519,1.0
Q09,What does the RAGAS answer relevancy metric measure and what does it penalise?,ragas.pdf,ragas.pdf,0.0291,0.2324,2.3283,,1.0,0.6595580126684347,0.8333333332916666,1.0
Q10,What is the key advantage of RAGAS metrics with respect to human-annotated groun,ragas.pdf,ragas.pdf,0.0313,0.154,3.4261,,1.0,0.7452527184449678,0.9166666666361111,1.0
Q11,What performance pattern do language models exhibit when relevant information is,long_context_llm.pdf,long_context_llm.pdf,0.0328,0.1278,1.5081,,0.5,0.3160381997340843,0.94999999997625,1.0
Q12,What are the three developmental paradigms of the RAG framework described in the,rag_llm.pdf,rag_llm.pdf,0.032,0.1317,2.7368,,0.75,0.9597247513868593,0.8874999999778125,1.0
Q13,How many datasets and categories does the MTEB benchmark cover in its English su,text_embed.pdf,text_embed.pdf,0.0323,0.1143,3.6822,,0.6,0.7363412360189286,0.7499999999625,1.0
Q14,What was the real GDP growth rate in the fourth quarter of 2025?,gdp4q25.pdf,gdp4q25.pdf,0.0328,0.1659,2.628,,0.6666666666666666,0.950312934552509,0.8874999999778125,1.0
Q15,What factors caused the deceleration in real GDP in Q4 2025?,gdp4q25.pdf,gdp4q25.pdf,0.0328,0.1002,1.8092,,1.0,0.8688940708596512,0.8333333332916666,1.0
Q16,What was the growth rate of real final sales to private domestic purchasers in Q,gdp4q25.pdf,gdp4q25.pdf,0.0318,0.1169,1.417,,0.0,0.0,0.249999999975,1.0
Q17,How does natural selection act on variations among individuals according to Darw,species_origin.pdf,species_origin.pdf,0.0293,0.1333,4.0308,,1.0,0.8576809085161033,0.99999999998,1.0
Q18,What evidence does Darwin cite regarding the classification of closely allied sp,species_origin.pdf,species_origin.pdf,0.0325,0.2106,2.4845,,1.0,0.718163289604434,0.6791666666496875,0.0
Q19,What is the Stoic summum bonum according to the Meditations commentary?,meditations.pdf,meditations.pdf,0.0323,0.1151,3.123,,0.6666666666666666,0.9094488990920895,0.9166666666361111,1.0
Q20,"Who does Plato say should be kings in the perfect state, according to the Republ",the_republic.pdf,the_republic.pdf,0.0299,0.1229,1.3482,,1.0,0.0,0.0,0.0
Q21,What does Sherlock Holmes say to Watson about how to examine a personal object f,sherlock_homes.pdf,sherlock_homes.pdf,0.0296,0.1111,1.3411,,0.0,0.0,0.0,1.0
Q22,What does the rag_hallucination paper show happens to hallucination rates with r,rag_hallucination.pdf,rag_hallucination.pdf,0.0315,0.2137,2.328,,0.5,0.8849012375910407,0.9999999999666667,1.0
Q23,What is the main thesis of the paper 'Retrieval Augmentation Reduces Hallucinati,rag_hallucination.pdf,rag_hallucination.pdf,0.0328,0.1418,3.3093,,0.5,1.0,0.999999999975,1.0
Q24,What does the LLM evaluation survey say about the importance of measuring factua,llm_eval.pdf,ragas.pdf,0.0164,0.523,3.4426,,0.0,0.0,0.8041666666465626,1.0
Q25,What does the HELM evaluation framework assess in language models?,llm_eval.pdf,llm_eval.pdf,0.031,0.7317,1.4731,,1.0,0.9395657496827693,0.8874999999778125,1.0
Q26,How does Plato describe the four corresponding faculties of the soul in relation,the_republic.pdf,the_republic.pdf,0.0323,0.1398,1.9042,,1.0,0.894173911831262,0.9999999999666667,1.0
Q27,What does Marcus Aurelius say about the nature of man's life in the Meditations?,meditations.pdf,meditations.pdf,0.0323,0.5977,1.8508,,0.0,0.0,0.99999999995,1.0
