id,question,source_document,top_retrieved_doc,top_score,retrieval_latency_s,generation_latency_s,error,faithfulness,answer_relevancy,context_precision,context_recall
Q01,"How many parallel attention heads does the Transformer model use, and what is th",attention_need.pdf,attention_need.pdf,0.739,0.5218,1.875,,0.8333333333333334,0.7117347478029987,0.99999999998,1.0
Q02,What are the two sub-layers in each encoder layer of the Transformer?,attention_need.pdf,attention_need.pdf,0.7114,0.0995,1.3576,,0.75,0.4902038158749866,0.99999999998,1.0
Q03,What additional sub-layer does the Transformer decoder have compared to the enco,attention_need.pdf,attention_need.pdf,0.7077,0.1036,1.249,,1.0,0.8439998320248462,0.99999999998,1.0
Q04,What three confidence levels does CRAG's retrieval evaluator assign to retrieved,corrective_rag.pdf,corrective_rag.pdf,0.7016,0.0738,2.1847,,0.25,0.7654889046393791,0.99999999998,0.6666666666666666
Q05,What does CRAG do when retrieval confidence is Incorrect?,corrective_rag.pdf,corrective_rag.pdf,0.597,0.0911,1.1696,,0.0,0.953312030914392,0.5833333333041666,1.0
Q06,What neural network architecture does DPR use to encode questions and passages?,dense_retrieval.pdf,attention_need.pdf,0.6045,0.1015,1.3376,,1.0,0.44698172958408655,0.5333333333155555,1.0
Q07,What training technique does DPR use to handle negative examples efficiently dur,dense_retrieval.pdf,dense_retrieval.pdf,0.6679,0.1194,1.3876,,1.0,0.9552443858156011,0.5888888888692593,0.5
Q08,How does RAGAS compute the faithfulness metric for a generated answer?,ragas.pdf,ragas.pdf,0.6153,0.1043,1.1452,,0.0,0.0,0.5333333333155555,1.0
Q09,What does the RAGAS answer relevancy metric measure and what does it penalise?,ragas.pdf,rag_llm.pdf,0.65,0.0878,2.012,,0.0,0.0,0.19999999998,1.0
Q10,What is the key advantage of RAGAS metrics with respect to human-annotated groun,ragas.pdf,ragas.pdf,0.6539,0.1086,1.3088,,1.0,0.652376959500333,0.9166666666361111,1.0
Q11,What performance pattern do language models exhibit when relevant information is,long_context_llm.pdf,long_context_llm.pdf,0.8208,0.1004,1.2462,,1.0,0.7661279102449788,0.99999999998,1.0
Q12,What are the three developmental paradigms of the RAG framework described in the,rag_llm.pdf,rag_llm.pdf,0.6855,0.1166,1.277,,0.8,0.9999999999999998,0.7499999999625,1.0
Q13,How many datasets and categories does the MTEB benchmark cover in its English su,text_embed.pdf,text_embed.pdf,0.6681,0.1452,1.4515,,1.0,0.7363412360189286,0.8055555555287036,1.0
Q14,What was the real GDP growth rate in the fourth quarter of 2025?,gdp4q25.pdf,gdp4q25.pdf,0.7366,0.0694,1.5971,,0.6,0.9520596485435524,0.94999999997625,1.0
Q15,What factors caused the deceleration in real GDP in Q4 2025?,gdp4q25.pdf,gdp4q25.pdf,0.691,0.0824,1.6289,,1.0,0.8688940708596512,0.8041666666465626,1.0
Q16,What was the growth rate of real final sales to private domestic purchasers in Q,gdp4q25.pdf,gdp4q25.pdf,0.6986,0.1429,1.6985,,0.6666666666666666,0.8294696690025338,0.249999999975,1.0
Q17,How does natural selection act on variations among individuals according to Darw,species_origin.pdf,species_origin.pdf,0.7091,0.133,2.016,,1.0,0.8046920445917143,0.99999999998,1.0
Q18,What evidence does Darwin cite regarding the classification of closely allied sp,species_origin.pdf,species_origin.pdf,0.6308,0.1376,2.2421,,1.0,0.6757855306881835,0.99999999998,0.0
Q19,What is the Stoic summum bonum according to the Meditations commentary?,meditations.pdf,meditations.pdf,0.5327,0.0528,1.3088,,0.5,0.9357142806950068,0.94999999997625,0.5
Q20,"Who does Plato say should be kings in the perfect state, according to the Republ",the_republic.pdf,the_republic.pdf,0.6629,0.0971,1.9025,,0.0,0.0,0.249999999975,0.0
Q21,What does Sherlock Holmes say to Watson about how to examine a personal object f,sherlock_homes.pdf,sherlock_homes.pdf,0.6663,0.0727,1.7661,,1.0,0.5581424534454396,0.3333333333,0.5
Q22,What does the rag_hallucination paper show happens to hallucination rates with r,rag_hallucination.pdf,rag_hallucination.pdf,0.5984,0.0999,1.7756,,1.0,0.5951446889030376,0.32499999998375,0.5
Q23,What is the main thesis of the paper 'Retrieval Augmentation Reduces Hallucinati,rag_hallucination.pdf,rag_hallucination.pdf,0.6786,0.0996,2.1561,,1.0,1.0,0.99999999998,1.0
Q24,What does the LLM evaluation survey say about the importance of measuring factua,llm_eval.pdf,llm_eval.pdf,0.721,0.1711,1.0805,,0.0,0.0,0.99999999998,1.0
Q25,What does the HELM evaluation framework assess in language models?,llm_eval.pdf,llm_eval.pdf,0.6646,0.0805,1.789,,1.0,0.43235319518338566,0.8874999999778125,1.0
Q26,How does Plato describe the four corresponding faculties of the soul in relation,the_republic.pdf,the_republic.pdf,0.6456,0.0912,1.4623,,0.0,0.0,0.99999999995,1.0
Q27,What does Marcus Aurelius say about the nature of man's life in the Meditations?,meditations.pdf,meditations.pdf,0.7398,0.1018,1.9358,,1.0,0.8231763913417113,0.8874999999778125,1.0
